problem,instance_id,population_size,generations,operator_id,n_seeds,median_quality,mean_quality,std_quality,min_quality,max_quality
knapsack,n30_weakly,50,50,bitflip,30,8013.0,8016.8,60.58530605967777,7871.0,8111.0
knapsack,n30_weakly,50,50,swapbit,30,8078.0,8078.833333333333,50.43745415471716,7995.0,8158.0
knapsack,n30_strongly,20,20,singlepoint,30,8593.0,8592.5,126.79164282260551,8355.0,8943.0
knapsack,n30_strongly,20,20,uniform,30,8735.0,8729.166666666666,91.91115775323597,8547.0,8892.0
knapsack,n30_strongly,20,20,bitflip,30,8782.0,8777.033333333333,97.88962233515636,8556.0,8956.0
knapsack,n30_strongly,20,20,swapbit,30,8656.0,8649.3,110.88551100898682,8453.0,8855.0
knapsack,n30_strongly,20,30,singlepoint,30,8593.0,8592.5,126.79164282260551,8355.0,8943.0
knapsack,n30_strongly,20,30,uniform,30,8735.0,8729.166666666666,91.91115775323597,8547.0,8892.0
knapsack,n30_strongly,20,30,bitflip,30,8840.5,8829.4,101.72701807728637,8647.0,9018.0
knapsack,n30_strongly,20,30,swapbit,30,8657.5,8650.266666666666,111.41532530421333,8453.0,8855.0
knapsack,n30_strongly,20,50,singlepoint,30,8593.0,8592.5,126.79164282260551,8355.0,8943.0
knapsack,n30_strongly,20,50,uniform,30,8735.0,8729.166666666666,91.91115775323597,8547.0,8892.0
knapsack,n30_strongly,20,50,bitflip,30,8855.5,8873.0,87.73077940593264,8740.0,9046.0
knapsack,n30_strongly,20,50,swapbit,30,8658.5,8651.2,111.27270012497877,8455.0,8857.0
knapsack,n30_strongly,50,20,singlepoint,30,8800.0,8798.433333333332,116.55505827374205,8553.0,9029.0
knapsack,n30_strongly,50,20,uniform,30,8947.0,8937.366666666667,68.29322343992916,8744.0,9045.0
knapsack,n30_strongly,50,20,bitflip,30,8855.5,8880.733333333334,74.35466422460681,8747.0,9035.0
knapsack,n30_strongly,50,20,swapbit,30,8704.5,8717.433333333332,85.736437887337,8556.0,8859.0
knapsack,n30_strongly,50,30,singlepoint,30,8800.0,8798.433333333332,116.55505827374205,8553.0,9029.0
knapsack,n30_strongly,50,30,uniform,30,8947.0,8939.733333333334,67.25039845200936,8746.0,9053.0
knapsack,n30_strongly,50,30,bitflip,30,8932.5,8920.866666666667,75.45573414984413,8755.0,9035.0
knapsack,n30_strongly,50,30,swapbit,30,8708.0,8718.3,85.28902181042592,8559.0,8859.0
knapsack,n30_strongly,50,50,singlepoint,30,8800.0,8798.433333333332,116.55505827374205,8553.0,9029.0
knapsack,n30_strongly,50,50,uniform,30,8947.0,8939.733333333334,67.25039845200936,8746.0,9053.0
knapsack,n30_strongly,50,50,bitflip,30,8955.0,8964.5,75.92543983272736,8755.0,9057.0
knapsack,n30_strongly,50,50,swapbit,30,8708.0,8718.766666666666,85.2678066480821,8559.0,8859.0
knapsack,n50_uncorrelated,20,20,singlepoint,30,14337.0,14565.833333333334,1046.7622686772947,12906.0,16688.0
knapsack,n50_uncorrelated,20,20,uniform,30,16207.5,16039.866666666667,937.7872978943327,13966.0,17460.0
knapsack,n50_uncorrelated,20,20,bitflip,30,15994.5,15987.0,639.6069914004036,14988.0,17041.0
knapsack,n50_uncorrelated,20,20,swapbit,30,16150.0,16084.733333333334,599.6616248917518,15052.0,17366.0
knapsack,n50_uncorrelated,20,30,singlepoint,30,14337.0,14565.833333333334,1046.7622686772947,12906.0,16688.0
knapsack,n50_uncorrelated,20,30,uniform,30,16207.5,16039.866666666667,937.7872978943327,13966.0,17460.0
knapsack,n50_uncorrelated,20,30,bitflip,30,17059.5,16959.9,702.5158410289065,15365.0,18154.0
knapsack,n50_uncorrelated,20,30,swapbit,30,16495.5,16507.533333333333,593.1550203453728,15535.0,17657.0
knapsack,n50_uncorrelated,20,50,singlepoint,30,14337.0,14565.833333333334,1046.7622686772947,12906.0,16688.0
knapsack,n50_uncorrelated,20,50,uniform,30,16207.5,16039.866666666667,937.7872978943327,13966.0,17460.0
